products,prices,ratings,price_origs,pages
HP Victus Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX ...,"₹65,990",4.6,"₹88,056",/hp-victus-intel-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-16-d0311tx-gaming-laptop/p/itm22c164f45d999?pid=COMGHYYKESUN5ZKQ&lid=LSTCOMGHYYKESUN5ZKQNTQDKG&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_1&otracker=browse&iid=en_Vb1vxebTye4m5ke9U%2B3jwfMGNtAxxcj5Fnzf8yVKoKXYyF8IhjVuC0BCvfn9ahD%2BVWqwQTijCqeUWUawETN5xw%3D%3D&ssid=3kkqf401eo0000001678100246320
RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,"₹39,990",4.1,"₹59,999",/redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_2&otracker=browse&iid=en_Vb1vxebTye4m5ke9U%2B3jwfMGNtAxxcj5Fnzf8yVKoKV9VPkR%2FKWRwG5aaT0ujcnYTj1Hc3YfkkZizBLEZSepeg%3D%3D&ssid=3kkqf401eo0000001678100246320
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,"₹49,990",4.4,"₹70,990",/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lhb-hn358w-laptop/p/itm4d930ab779cbd?pid=COMGF9Z7JYCFBKAP&lid=LSTCOMGF9Z7JYCFBKAPXYET0O&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=b_1_3&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGF9Z7JYCFBKAP.SEARCH&ssid=3kkqf401eo0000001678100246320
MSI Katana GF66 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,"₹79,990",4.5,"₹1,11,990",/msi-katana-gf66-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-ti-144-hz-12ud-472in-gaming-laptop/p/itm0f7beb23c3a47?pid=COMGEY8WAEQYU5ZP&lid=LSTCOMGEY8WAEQYU5ZPXVBGRT&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_4&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGEY8WAEQYU5ZP.SEARCH&ssid=3kkqf401eo0000001678100246320
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹86,990",4.7,"₹99,900",/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmde54f026889ce?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_5&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMFXEKMGNHZYFH9.SEARCH&ssid=3kkqf401eo0000001678100246320
Lenovo V15 G2 Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) V15 ITL G2 Laptop,"₹35,490",4.4,"₹60,120",/lenovo-v15-g2-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-itl-laptop/p/itm622b441c5305a?pid=COMGHTE8UQZ6BADN&lid=LSTCOMGHTE8UQZ6BADNYC0C1D&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_6&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGHTE8UQZ6BADN.SEARCH&ssid=3kkqf401eo0000001678100246320
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,"₹23,990",4.1,"₹33,990",/asus-vivobook-14-2021-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-x415ma-bv011w-thin-light-laptop/p/itm8f9bebd99f5c0?pid=COMGBH774UHWUFQF&lid=LSTCOMGBH774UHWUFQFHH2XKA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_7&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGBH774UHWUFQF.SEARCH&ssid=3kkqf401eo0000001678100246320
HP Victus Intel Core i7 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3...,"₹90,990",4.4,"₹1,01,278",/hp-victus-intel-core-i7-12th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-15-fa0073tx-gaming-laptop/p/itm9010e2ab6b562?pid=COMGGKKZX7FC7GHU&lid=LSTCOMGGKKZX7FC7GHUX9YXDZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_8&otracker=browse&iid=en_Vb1vxebTye4m5ke9U%2B3jwfMGNtAxxcj5Fnzf8yVKoKXJAaIG2NekFRLBM%2By7cnvmkaQ0PPIlab7oVvZkGm0%2BNg%3D%3D&ssid=3kkqf401eo0000001678100246320
MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/8 GB Gra...,"₹79,990",4.5,"₹1,11,990",/msi-alpha-15-amd-advantage-ryzen-7-octa-core-5800h-8-gb-512-gb-ssd-windows-11-home-8-graphics-amd-radeon-rx-6600m-144-hz-b5eek-235in-gaming-laptop/p/itm32321e9be1e31?pid=COMGGZ234HN7DARE&lid=LSTCOMGGZ234HN7DAREXRH2PL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_9&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGGZ234HN7DARE.SEARCH&ssid=3kkqf401eo0000001678100246320
HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop,"₹35,990",4.2,"₹47,278",/hp-14s-intel-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-dy2507tu-thin-light-laptop/p/itm183e95bd1f23b?pid=COMGG63H9BFFUYVY&lid=LSTCOMGG63H9BFFUYVYFHH552&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_10&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGG63H9BFFUYVY.SEARCH&ssid=3kkqf401eo0000001678100246320
ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,"₹32,990",4.3,"₹45,990",/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-x515ja-ej392ws-x515ja-ej382ws-thin-light-laptop/p/itm8e0e9c901e006?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWHLSICD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_11&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMG87FFPEDAAGXW.SEARCH&ssid=3kkqf401eo0000001678100246320
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,"₹33,990",4.2,"₹60,890",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itme5d4463121c64?pid=COMG9VKERHP4FACH&lid=LSTCOMG9VKERHP4FACHOL4YVH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_12&otracker=browse&iid=en_Vb1vxebTye4m5ke9U%2B3jwfMGNtAxxcj5Fnzf8yVKoKWzb1W5cOFQHxsWJuIajeMGgKi1nd4qoCaFDcvdIK0Gng%3D%3D&ssid=3kkqf401eo0000001678100246320
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹72,309",4.4,"₹94,990",/asus-tuf-gaming-a17-90whr-battery-ryzen-7-octa-core-amd-r7-4800h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-fa706icb-hx061w-fa706ic-hx036w-laptop/p/itm1d301df445d80?pid=COMGB732ZPGYB2JP&lid=LSTCOMGB732ZPGYB2JPRDSJFF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_13&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGB732ZPGYB2JP.SEARCH&ssid=3kkqf401eo0000001678100246320
HP 15s Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop,"₹44,490",4.2,"₹56,260",/hp-15s-intel-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq5007tu-thin-light-laptop/p/itm559f5c880dc4a?pid=COMGKW2NSU4SPZSG&lid=LSTCOMGKW2NSU4SPZSGEOIPKZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_14&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGKW2NSU4SPZSG.SEARCH&ssid=3kkqf401eo0000001678100246320
ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Thin and Light La...,"₹38,990",4.1,"₹50,990",/asus-vivobook-15-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej322ws-thin-light-laptop/p/itmc6461360364e0?pid=COMGA5TUCZAV4HGH&lid=LSTCOMGA5TUCZAV4HGHWM8PS0&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_15&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGA5TUCZAV4HGH.SEARCH&ssid=3kkqf401eo0000001678100246320
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,"₹37,900",4.3,"₹59,390",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-82h801l7in-82h802fjin-82h802l3in-82h801lhin-thin-light-laptop/p/itm0e009f57a591b?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_16&otracker=browse&iid=en_Vb1vxebTye4m5ke9U%2B3jwfMGNtAxxcj5Fnzf8yVKoKVWxBFjMjo483oOgml52ZHZA8e7LX5u%2Bn%2FwoAnHGy5c8w%3D%3D&ssid=3kkqf401eo0000001678100246320
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,"₹29,990",4.2,"₹44,990",/infinix-inbook-y1-plus-intel-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-xl28-thin-light-laptop/p/itm64fd5584698f7?pid=COMGMM3HY5EMNFZA&lid=LSTCOMGMM3HY5EMNFZAYFBZG8&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_17&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGMM3HY5EMNFZA.SEARCH&ssid=3kkqf401eo0000001678100246320
DELL Vostro Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light L...,"₹37,990",4,"₹58,489",/dell-vostro-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-3510-thin-light-laptop/p/itm94af7689e9e9a?pid=COMGH53NQJHWAYP7&lid=LSTCOMGH53NQJHWAYP7R1RMWX&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_18&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGH53NQJHWAYP7.SEARCH&ssid=3kkqf401eo0000001678100246320
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,"₹29,990",4.2,"₹44,990",/infinix-inbook-y1-plus-intel-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-xl28-thin-light-laptop/p/itm6c066be25ddde?pid=COMGMM3H4NFYZHVW&lid=LSTCOMGMM3H4NFYZHVWBONOTX&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_19&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGMM3H4NFYZHVW.SEARCH&ssid=3kkqf401eo0000001678100246320
Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹53,990",4.3,"₹76,890",/lenovo-ideapad-gaming-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-82k101b6in-82k101ftin-laptop/p/itm52edaf472c5df?pid=COMGFM5BFZHDDB4R&lid=LSTCOMGFM5BFZHDDB4RSEPODX&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_20&otracker=browse&iid=en_Vb1vxebTye4m5ke9U%2B3jwfMGNtAxxcj5Fnzf8yVKoKXzG%2Fiq4eJqBvzDVkmUrzwwCwYlu7her6AyfG1oiA8JWg%3D%3D&ssid=3kkqf401eo0000001678100246320
HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dv2014TU Thin and Light Lap...,"₹67,490",4.4,"₹80,596",/hp-pavilion-intel-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-14-dv2014tu-thin-light-laptop/p/itmf2da8088aa614?pid=COMGEG3ZNYZDAYVJ&lid=LSTCOMGEG3ZNYZDAYVJNYHV3Q&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_21&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGEG3ZNYZDAYVJ.SEARCH&ssid=3kkqf401eo0000001678100246320
HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop,"₹48,990",4.3,"₹59,108",/hp-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15s-eq2182au-thin-light-laptop/p/itm09b322c037285?pid=COMGFRHGDB9G3Z9C&lid=LSTCOMGFRHGDB9G3Z9CBGKRA6&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_22&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGFRHGDB9G3Z9C.SEARCH&ssid=3kkqf401eo0000001678100246320
MSI Katana GF66 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX ...,"₹79,990",4.3,"₹1,23,990",/msi-katana-gf66-core-i7-11th-gen-16-gb-512-gb-ssd-windows-10-home-6-graphics-nvidia-geforce-rtx-3060-144-hz-11ue-861in-gaming-laptop/p/itm38e396a4d4d5c?pid=COMGEY8WGQXWHYXU&lid=LSTCOMGEY8WGQXWHYXU1RLJ8X&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_23&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGEY8WGQXWHYXU.SEARCH&ssid=3kkqf401eo0000001678100246320
Lenovo Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN | 8...,"₹38,490",4.3,"₹59,890",/lenovo-ideapad-slim-3-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-81x800j3in-81x800lgin-thin-light-laptop/p/itm0f71148608a53?pid=COMGBNFUTNYFZRJQ&lid=LSTCOMGBNFUTNYFZRJQFAMIHE&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_24&otracker=browse&iid=en_Vb1vxebTye4m5ke9U%2B3jwfMGNtAxxcj5Fnzf8yVKoKW4fy%2Bgy1cYbvypD7xUj2xXaxKwlIa7arRtub0ZKhhPCQ%3D%3D&ssid=3kkqf401eo0000001678100246320
acer Aspire 3 Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) A315-23 Laptop,"₹26,990",4.2,"₹42,999",/acer-aspire-3-ryzen-dual-core-3250u-8-gb-256-gb-ssd-windows-11-home-a315-23-laptop/p/itm6961e2f1ddc21?pid=COMGFY85CRF3KF5W&lid=LSTCOMGFY85CRF3KF5WFX1VHM&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_25&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGFY85CRF3KF5W.SEARCH&ssid=jobgy7rxuo0000001678100249286
HP Pavilion Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light Lap...,"₹52,990",4.3,"₹63,325",/hp-pavilion-ryzen-5-hexa-core-5625u-8-gb-512-gb-ssd-windows-11-home-14-ec1003au-thin-light-laptop/p/itm1a257206fe320?pid=COMGCGSTVVGKQTVA&lid=LSTCOMGCGSTVVGKQTVAJVF572&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_26&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGCGSTVVGKQTVA.SEARCH&ssid=jobgy7rxuo0000001678100249286
ASUS Vivobook 15 Touch Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EZ311WS Thin and Li...,"₹41,990",4.3,"₹60,990",/asus-vivobook-15-touch-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ez311ws-thin-light-laptop/p/itm9280b4ca3969f?pid=COMGEFDUVGNNCZVU&lid=LSTCOMGEFDUVGNNCZVUM0H7GM&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_27&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGEFDUVGNNCZVU.SEARCH&ssid=jobgy7rxuo0000001678100249286
HP Victus Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX ...,"₹65,990",4.6,"₹88,056",/hp-victus-intel-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-16-d0311tx-gaming-laptop/p/itm22c164f45d999?pid=COMGHYYKESUN5ZKQ&lid=LSTCOMGHYYKESUN5ZKQNTQDKG&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_28&otracker=browse&iid=en_9lNSr1PTH66dODOlx8WxotxreLU2PXI5jLTt3lyNMMIhJHBdtvWcgeKGag0lxYZFVWqwQTijCqeUWUawETN5xw%3D%3D&ssid=jobgy7rxuo0000001678100249286
ASUS VivoBook Flip 14 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) TP470EA-EC301WS 2 in 1 Lapt...,"₹44,990",4.4,"₹63,990",/asus-vivobook-flip-14-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-tp470ea-ec301ws-2-1-laptop/p/itma917de411489d?pid=COMGARNU7KVANJ8E&lid=LSTCOMGARNU7KVANJ8ED5MPUN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_29&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGARNU7KVANJ8E.SEARCH&ssid=jobgy7rxuo0000001678100249286
DELL Core i5 12th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Lig...,"₹53,990",4.1,"₹72,094",/dell-core-i5-12th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm148ac85e4b92b?pid=COMGKAVGAGWWHZ2Y&lid=LSTCOMGKAVGAGWWHZ2YTPN3MS&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_30&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGKAVGAGWWHZ2Y.SEARCH&ssid=jobgy7rxuo0000001678100249286
ASUS Vivobook 15 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) X515EA-EJ701WS Thin and Light L...,"₹56,990",4.1,"₹80,990",/asus-vivobook-15-core-i7-11th-gen-16-gb-512-gb-ssd-windows-11-home-x515ea-ej701ws-thin-light-laptop/p/itmb91512fec2b91?pid=COMGJTC4GY5PV8PD&lid=LSTCOMGJTC4GY5PV8PDYU63VL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_31&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGJTC4GY5PV8PD.SEARCH&ssid=jobgy7rxuo0000001678100249286
RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,"₹39,990",4.1,"₹59,999",/redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_32&otracker=browse&iid=en_9lNSr1PTH66dODOlx8WxotxreLU2PXI5jLTt3lyNMMLxrCFn89Ve2EaWj0cblnwTTj1Hc3YfkkZizBLEZSepeg%3D%3D&ssid=jobgy7rxuo0000001678100249286
HP Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) 14s-fq0568AU Thin and Light Laptop,"₹25,990",4,"₹38,176",/hp-athlon-dual-core-3050u-8-gb-256-gb-ssd-windows-11-home-14s-fq0568au-thin-light-laptop/p/itm69710a61fcfdf?pid=COMGG63HHFBZ2BZP&lid=LSTCOMGG63HHFBZ2BZPO05AZF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_33&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGG63HHFBZ2BZP.SEARCH&ssid=jobgy7rxuo0000001678100249286
ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5-3500U - (8 GB/512 GB SSD/Windows 11 Home) M415DA-EB71...,"₹38,990",4.2,"₹57,990",/asus-vivobook-14-2022-ryzen-5-quad-core-amd-r5-3500u-8-gb-512-gb-ssd-windows-11-home-m415da-eb712ws-thin-light-laptop/p/itm291ea229a80a6?pid=COMGCG2GZKRCJUBZ&lid=LSTCOMGCG2GZKRCJUBZ1XPKVP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_34&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGCG2GZKRCJUBZ.SEARCH&ssid=jobgy7rxuo0000001678100249286
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,"₹29,990",4.2,"₹44,990",/infinix-inbook-y1-plus-intel-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-xl28-thin-light-laptop/p/itma467922442d47?pid=COMGMM3HYU32ZHDH&lid=LSTCOMGMM3HYU32ZHDHYH8G6S&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_35&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGMM3HYU32ZHDH.SEARCH&ssid=jobgy7rxuo0000001678100249286
HP Victus Intel Core i7 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3...,"₹90,990",4.4,"₹1,01,278",/hp-victus-intel-core-i7-12th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-15-fa0073tx-gaming-laptop/p/itm9010e2ab6b562?pid=COMGGKKZX7FC7GHU&lid=LSTCOMGGKKZX7FC7GHUX9YXDZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_36&otracker=browse&iid=en_9lNSr1PTH66dODOlx8WxotxreLU2PXI5jLTt3lyNMMJSxh0Ua72f%2BZFsL1FPbYHj%2F9%2FS4A4kr%2FhpC1E5DyWeuw%3D%3D&ssid=jobgy7rxuo0000001678100249286
